
Country Name En,Unit Name,2020,2020 Flag,2019,2019 Flag,2018,2018 Flag,2017,2017 Flag,2016,2016 Flag
Argentina,Tonnes - live weight,2084.50,,2592.19,N,3205.31,,3567.76,N,3673.485,N
Bolivia (Plurinat.State),Tonnes - live weight,3720,E,3825,E,3750,E,3680,E,3430,E
Brazil,Tonnes - live weight,630200.2,E,600300.090,E,581637.705,E,565196.448,E,542982.013,E
Chile,Tonnes - live weight,1505486,,1407289,,1287232.58,,1219747.097,E,1050117,N
Colombia,Tonnes - live weight,179350.99,,171025.445,,132756.22,,118485,E,106685,E
Ecuador,Tonnes - live weight,774568.55,E,695835,E,581435,E,484990,E,451380.9,E
Falkland Is.(Malvinas),Tonnes - live weight,0,,0,,0,,0,,0,
French Guiana,Tonnes - live weight,2,E,2,E,2,E,2,E,3,E
Guyana,Tonnes - live weight,137.626,,243.02,,306.76,,696.268,,336.70,
Paraguay,Tonnes - live weight,14100,,12000,E,11536,,10781,,8500,E
Peru,Tonnes - live weight,143829.723,,161278.604,,141224.38,,100458.36,,100187.15,
Suriname,Tonnes - live weight,37,E,69.5,E,72.4,E,106.75,E,102.1,
Uruguay,Tonnes - live weight,103,E,117,E,101.774,E,59.979,,69.653,
Venezuela (Boliv Rep of),Tonnes - live weight,53609,E,39886,E,25911,E,27000,E,25998,
